hrv_id,focus_id,hrv_data,hrv_rawdata,timestamp
1,3,45.2,"{""SDNN"": 27.4, ""RMSSD"": 19.2}",2024-12-04 18:04
2,3,46.5,"{""SDNN"": 28.1, ""RMSSD"": 20.4}",2024-12-04 18:05
3,3,47.8,"{""SDNN"": 28.8, ""RMSSD"": 20.9}",2024-12-04 18:06
4,3,49.0,"{""SDNN"": 29.5, ""RMSSD"": 21.3}",2024-12-04 18:07
5,3,50.3,"{""SDNN"": 30.2, ""RMSSD"": 21.8}",2024-12-04 18:08
6,3,51.6,"{""SDNN"": 30.9, ""RMSSD"": 22.1}",2024-12-04 18:09
7,3,52.9,"{""SDNN"": 31.6, ""RMSSD"": 22.7}",2024-12-04 18:10
8,3,54.2,"{""SDNN"": 32.3, ""RMSSD"": 23.0}",2024-12-04 18:11
9,3,50.4,"{'SDNN': 19.1, 'RMSSD': 18.5}",2024-12-04 18:12
10,3,30.0,"{'SDNN': 10.4, 'RMSSD': 5.8}",2024-12-04 18:13
11,3,28.5,"{'SDNN': 9.3, 'RMSSD': 6.0}",2024-12-04 18:14
12,3,25.2,"{'SDNN': 8.4, 'RMSSD': 5.5}",2024-12-04 18:15
13,3,24.0,"{'SDNN': 7.3, 'RMSSD': 5.2}",2024-12-04 18:16
14,3,22.8,"{'SDNN': 6.8, 'RMSSD': 4.9}",2024-12-04 18:17
15,3,23.5,"{'SDNN': 7.0, 'RMSSD': 4.6}",2024-12-04 18:18
16,3,24.1,"{'SDNN': 6.5, 'RMSSD': 4.7}",2024-12-04 18:19
17,3,26.3,"{'SDNN': 7.5, 'RMSSD': 5.3}",2024-12-04 18:20
18,3,27.0,"{'SDNN': 8.0, 'RMSSD': 5.0}",2024-12-04 18:21
19,3,29.2,"{'SDNN': 9.0, 'RMSSD': 5.5}",2024-12-04 18:22
20,3,28.0,"{'SDNN': 8.7, 'RMSSD': 6.1}",2024-12-04 18:23
21,3,57.6,"{'SDNN': 25.9, 'RMSSD': 19.4}",2024-12-04 18:24
22,3,54.7,"{'SDNN': 25.3, 'RMSSD': 20.5}",2024-12-04 18:25
23,3,60.0,"{'SDNN': 23.0, 'RMSSD': 22.0}",2024-12-04 18:26
24,3,49.5,"{""SDNN"": 29.7, ""RMSSD"": 21.1}",2024-12-04 18:27
25,3,50.8,"{""SDNN"": 30.4, ""RMSSD"": 21.6}",2024-12-04 18:28
26,3,52.1,"{""SDNN"": 31.1, ""RMSSD"": 22.2}",2024-12-04 18:29
27,3,53.4,"{""SDNN"": 31.8, ""RMSSD"": 22.7}",2024-12-04 18:30
28,3,54.8,"{""SDNN"": 32.5, ""RMSSD"": 23.3}",2024-12-04 18:31
29,3,56.1,"{""SDNN"": 33.2, ""RMSSD"": 23.8}",2024-12-04 18:32
30,3,57.4,"{""SDNN"": 33.9, ""RMSSD"": 24.4}",2024-12-04 18:33
31,3,48.2,"{""SDNN"": 29.1, ""RMSSD"": 20.6}",2024-12-04 18:34
32,3,49.5,"{""SDNN"": 29.9, ""RMSSD"": 21.3}",2024-12-04 18:35
33,3,50.9,"{""SDNN"": 30.6, ""RMSSD"": 21.9}",2024-12-04 18:36
34,3,52.2,"{""SDNN"": 31.3, ""RMSSD"": 22.4}",2024-12-04 18:37
35,3,53.5,"{""SDNN"": 32.0, ""RMSSD"": 22.9}",2024-12-04 18:38
36,3,54.9,"{""SDNN"": 32.7, ""RMSSD"": 23.5}",2024-12-04 18:39
37,3,56.2,"{""SDNN"": 33.4, ""RMSSD"": 24.0}",2024-12-04 18:40
38,3,57.5,"{""SDNN"": 34.1, ""RMSSD"": 24.6}",2024-12-04 18:41
39,3,58.9,"{""SDNN"": 34.8, ""RMSSD"": 25.1}",2024-12-04 18:42
40,3,60.2,"{""SDNN"": 35.5, ""RMSSD"": 25.7}",2024-12-04 18:43
41,3,45.7,"{""SDNN"": 27.7, ""RMSSD"": 19.6}",2024-12-04 18:44
42,3,47.1,"{""SDNN"": 28.4, ""RMSSD"": 20.2}",2024-12-04 18:45
43,3,48.4,"{""SDNN"": 29.1, ""RMSSD"": 20.8}",2024-12-04 18:46
44,3,49.8,"{""SDNN"": 29.8, ""RMSSD"": 21.3}",2024-12-04 18:47
45,3,51.1,"{""SDNN"": 30.5, ""RMSSD"": 21.9}",2024-12-04 18:48
46,3,52.4,"{""SDNN"": 31.2, ""RMSSD"": 22.4}",2024-12-04 18:49
47,3,53.7,"{""SDNN"": 31.9, ""RMSSD"": 23.0}",2024-12-04 18:50
48,3,55.0,"{""SDNN"": 32.6, ""RMSSD"": 23.5}",2024-12-04 18:51
49,3,56.4,"{""SDNN"": 33.3, ""RMSSD"": 24.1}",2024-12-04 18:52
50,3,57.8,"{""SDNN"": 34.0, ""RMSSD"": 24.6}",2024-12-04 18:53
