hrv_id,focus_id,hrv_data,hrv_rawdata,timestamp
1,2,50.1,"{""SDNN"": 30.0, ""RMSSD"": 20.0}",2024-12-03 14:10
2,2,51.3,"{""SDNN"": 30.5, ""RMSSD"": 20.5}",2024-12-03 14:11
3,2,52.5,"{""SDNN"": 31.0, ""RMSSD"": 21.0}",2024-12-03 14:12
4,2,53.2,"{""SDNN"": 31.4, ""RMSSD"": 21.4}",2024-12-03 14:13
5,2,54.0,"{""SDNN"": 31.8, ""RMSSD"": 21.8}",2024-12-03 14:14
6,2,55.1,"{""SDNN"": 32.3, ""RMSSD"": 22.3}",2024-12-03 14:15
7,2,56.2,"{""SDNN"": 32.8, ""RMSSD"": 22.8}",2024-12-03 14:16
8,2,57.4,"{""SDNN"": 33.2, ""RMSSD"": 23.2}",2024-12-03 14:17
9,2,50.4,"{'SDNN': 19.1, 'RMSSD': 18.5}",2024-12-03 14:18
10,2,30.0,"{'SDNN': 10.4, 'RMSSD': 5.8}",2024-12-03 14:19
11,2,28.5,"{'SDNN': 9.3, 'RMSSD': 6.0}",2024-12-03 14:20
12,2,25.2,"{'SDNN': 8.4, 'RMSSD': 5.5}",2024-12-03 14:21
13,2,24.0,"{'SDNN': 7.3, 'RMSSD': 5.2}",2024-12-03 14:22
14,2,22.8,"{'SDNN': 6.8, 'RMSSD': 4.9}",2024-12-03 14:23
15,2,23.5,"{'SDNN': 7.0, 'RMSSD': 4.6}",2024-12-03 14:24
16,2,24.1,"{'SDNN': 6.5, 'RMSSD': 4.7}",2024-12-03 14:25
17,2,26.3,"{'SDNN': 7.5, 'RMSSD': 5.3}",2024-12-03 14:26
18,2,27.0,"{'SDNN': 8.0, 'RMSSD': 5.0}",2024-12-03 14:27
19,2,29.2,"{'SDNN': 9.0, 'RMSSD': 5.5}",2024-12-03 14:28
20,2,28.0,"{'SDNN': 8.7, 'RMSSD': 6.1}",2024-12-03 14:29
21,2,57.6,"{'SDNN': 25.9, 'RMSSD': 19.4}",2024-12-03 14:30
22,2,54.7,"{'SDNN': 25.3, 'RMSSD': 20.5}",2024-12-03 14:31
23,2,60.0,"{'SDNN': 23.0, 'RMSSD': 22.0}",2024-12-03 14:32
24,2,53.3,"{""SDNN"": 31.5, ""RMSSD"": 21.5}",2024-12-03 14:33
25,2,54.1,"{""SDNN"": 31.9, ""RMSSD"": 21.9}",2024-12-03 14:34
26,2,55.2,"{""SDNN"": 32.4, ""RMSSD"": 22.4}",2024-12-03 14:35
27,2,56.3,"{""SDNN"": 32.9, ""RMSSD"": 22.9}",2024-12-03 14:36
28,2,57.5,"{""SDNN"": 33.4, ""RMSSD"": 23.4}",2024-12-03 14:37
29,2,58.1,"{""SDNN"": 33.8, ""RMSSD"": 23.8}",2024-12-03 14:38
30,2,59.3,"{""SDNN"": 34.2, ""RMSSD"": 24.2}",2024-12-03 14:39
31,2,50.3,"{""SDNN"": 30.1, ""RMSSD"": 20.3}",2024-12-03 14:40
32,2,51.7,"{""SDNN"": 30.7, ""RMSSD"": 20.8}",2024-12-03 14:41
33,2,52.9,"{""SDNN"": 31.3, ""RMSSD"": 21.4}",2024-12-03 14:42
34,2,53.6,"{""SDNN"": 31.7, ""RMSSD"": 21.8}",2024-12-03 14:43
35,2,54.4,"{""SDNN"": 32.1, ""RMSSD"": 22.3}",2024-12-03 14:44
36,2,55.5,"{""SDNN"": 32.6, ""RMSSD"": 22.7}",2024-12-03 14:45
37,2,56.6,"{""SDNN"": 33.1, ""RMSSD"": 23.2}",2024-12-03 14:46
38,2,57.8,"{""SDNN"": 33.6, ""RMSSD"": 23.6}",2024-12-03 14:47
39,2,58.4,"{""SDNN"": 34.0, ""RMSSD"": 24.0}",2024-12-03 14:48
40,2,59.6,"{""SDNN"": 34.4, ""RMSSD"": 24.4}",2024-12-03 14:49
41,2,50.5,"{""SDNN"": 30.3, ""RMSSD"": 20.5}",2024-12-03 14:50
42,2,51.8,"{""SDNN"": 30.8, ""RMSSD"": 20.9}",2024-12-03 14:51
43,2,53.0,"{""SDNN"": 31.4, ""RMSSD"": 21.4}",2024-12-03 14:52
44,2,53.7,"{""SDNN"": 31.8, ""RMSSD"": 21.8}",2024-12-03 14:53
45,2,54.5,"{""SDNN"": 32.2, ""RMSSD"": 22.2}",2024-12-03 14:54
46,2,55.6,"{""SDNN"": 32.7, ""RMSSD"": 22.7}",2024-12-03 14:55
47,2,56.7,"{""SDNN"": 33.2, ""RMSSD"": 23.2}",2024-12-03 14:56
48,2,57.9,"{""SDNN"": 33.7, ""RMSSD"": 23.7}",2024-12-03 14:57
49,2,58.5,"{""SDNN"": 34.1, ""RMSSD"": 24.1}",2024-12-03 14:58
50,2,59.7,"{""SDNN"": 34.5, ""RMSSD"": 24.5}",2024-12-03 14:59
